tmdb_id,title,year,status,rt_url,rt_title,imdb_id,critics_score,critics_sentiment,audience_score,audience_sentiment,mpaa_rating
3924,Blondie,,ok,https://www.rottentomatoes.com/tv/blondie,Blondie,,,,,,
8773,Love at Twenty,,ok,https://www.rottentomatoes.com/m/love_at_twenty,Love at Twenty,,,,76,POSITIVE,
25449,New World Disorder 9: Never Enough,,ok,https://www.rottentomatoes.com/m/new_world_disorder,New World Disorder,,,,14,NEGATIVE,R
2,Ariel,,ok,https://www.rottentomatoes.com/m/ariel,Ariel,,,,87,POSITIVE,
3,Shadows in Paradise,,ok,https://www.rottentomatoes.com/m/shadows_in_paradise,Shadows in Paradise,,,,87,POSITIVE,
5,Four Rooms,,ok,https://www.rottentomatoes.com/m/four_rooms,Four Rooms,,13,NEGATIVE,69,POSITIVE,R
6,Judgment Night,,ok,https://www.rottentomatoes.com/m/judgment_night,Judgment Night,,38,NEGATIVE,55,NEGATIVE,R
8,Life in Loops (A Megacities RMX),,ok,https://www.rottentomatoes.com/m/life_in_a_year,Life in a Year,,,,81,POSITIVE,PG-13
9,Sunday in August,,ok,https://www.rottentomatoes.com/m/sunday-in-august,Sunday in August,,,,,,
11,Star Wars,,ok,https://www.rottentomatoes.com/m/star_wars_the_mandalorian_and_grogu,Star Wars: The Mandalorian and Grogu,,60,POSITIVE,87,POSITIVE,PG-13
12,Finding Nemo,,ok,https://www.rottentomatoes.com/m/finding_nemo,Finding Nemo,,99,POSITIVE,86,POSITIVE,G
13,Forrest Gump,,ok,https://www.rottentomatoes.com/m/forrest_gump,Forrest Gump,,75,POSITIVE,95,POSITIVE,PG-13
14,American Beauty,,ok,https://www.rottentomatoes.com/m/american_beauty,American Beauty,,87,POSITIVE,93,POSITIVE,R
15,Citizen Kane,,ok,https://www.rottentomatoes.com/m/citizen_kane,Citizen Kane,,99,POSITIVE,99,POSITIVE,PG
16,Dancer in the Dark,,ok,https://www.rottentomatoes.com/m/dancer_in_the_dark,Dancer in the Dark,,69,POSITIVE,91,POSITIVE,R
17,The Dark,,ok,https://www.rottentomatoes.com/tv/the_dark,The Dark,,,,,,
18,The Fifth Element,,ok,https://www.rottentomatoes.com/m/fifth_element,The Fifth Element,,70,POSITIVE,87,POSITIVE,PG-13
19,Metropolis,,ok,https://www.rottentomatoes.com/m/metropolis,Metropolis,,97,POSITIVE,91,POSITIVE,
20,My Life Without Me,,ok,https://www.rottentomatoes.com/m/my_life_without_me,My Life Without Me,,65,POSITIVE,87,POSITIVE,R
21,The Endless Summer,,ok,https://www.rottentomatoes.com/m/endless_summer,The Endless Summer,,100,POSITIVE,91,POSITIVE,
22,Pirates of the Caribbean: The Curse of the Black Pearl,,ok,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_the_curse_of_the_black_pearl,Pirates of the Caribbean: The Curse of the Black Pearl,,79,POSITIVE,86,POSITIVE,PG-13
24,Kill Bill: Vol. 1,,ok,https://www.rottentomatoes.com/m/kill_bill_vol_1,Kill Bill: Vol. 1,,85,POSITIVE,81,POSITIVE,R
